i,date,holiday
1,2009-1-1,New Year's Day
2,2009-1-25,Robert Burns Night (Burns Night)
3,2009-1-27,Holocaust Memorial Day
4,2009-2-14,Valentines Day
5,2009-2-24,Shrove Tuesday (Pancake Day)
6,2009-2-25,Ash Wednesday
7,2009-3-1,St David's Day
8,2009-3-17,St Patricks Day
9,2009-3-22,Mothering Sunday (Mothers Day)
10,2009-3-29,British Summertime (BST) Begins
11,2009-4-1,April Fool's Day
12,2009-4-9,Maundy Thursday
13,2009-4-10,Good Friday
14,2009-4-12,Easter Sunday
15,2009-4-13,Easter Monday
16,2009-4-21,Queen Elizabeth's Birthday
17,2009-4-23,St George's Day
18,2009-5-4,May Day (Early May Bank Holiday)
19,2009-5-25,Spring Bank Holiday
20,2009-6-14,Trooping the Colour
21,2009-6-21,Father's Day
22,2009-7-14,Emmeline Pankhurst Day
23,2009-7-15,St.Swithun's Day (aka St. Swithin's)
24,2009-8-31,Summer Bank Holiday
25,2009-10-25,British Summertime (BST) Ends
26,2009-10-31,Halloween
27,2009-11-1,All Saints Day
28,2009-11-5,Guy Fawkes Night
29,2009-11-8,Remembrance Day (Remembrance Sunday)
30,2009-11-30,St Andrew's Day
31,2009-12-25,Christmas
32,2009-12-28,Boxing Day
33,2010-1-1,New Year's Day
34,2010-1-25,Robert Burns Night (Burns Night)
35,2010-1-27,Holocaust Memorial Day
36,2010-2-14,Valentines Day
37,2010-2-16,Shrove Tuesday (Pancake Day)
38,2010-2-17,Ash Wednesday
39,2010-3-1,St David's Day
40,2010-3-14,Mothering Sunday (Mothers Day)
41,2010-3-17,St Patricks Day
42,2010-3-28,British Summertime (BST) Begins
43,2010-4-1,April Fool's Day
44,2010-4-1,Maundy Thursday
45,2010-4-2,Good Friday
46,2010-4-4,Easter Sunday
47,2010-4-5,Easter Monday
48,2010-4-21,Queen Elizabeth's Birthday
49,2010-4-23,St George's Day
50,2010-5-3,May Day (Early May Bank Holiday)
51,2010-5-31,Spring Bank Holiday
52,2010-6-14,Trooping the Colour
53,2010-6-20,Father's Day
54,2010-7-14,Emmeline Pankhurst Day
55,2010-7-15,St.Swithun's Day (aka St. Swithin's)
56,2010-8-30,Summer Bank Holiday
57,2010-10-31,British Summertime (BST) Ends
58,2010-10-31,Halloween
59,2010-11-1,All Saints Day
60,2010-11-5,Guy Fawkes Night
61,2010-11-14,Remembrance Day (Remembrance Sunday)
62,2010-11-30,St Andrew's Day
63,2010-12-27,Boxing Day
64,2010-12-28,Christmas
65,2011-1-2,Hogmanay
66,2011-1-3,New Year's Day
67,2011-1-25,Robert Burns Night (Burns Night)
68,2011-1-27,Holocaust Memorial Day
69,2011-2-14,Valentines Day
70,2011-3-1,St David's Day
71,2011-3-8,Shrove Tuesday (Pancake Day)
72,2011-3-9,Ash Wednesday
73,2011-3-17,St Patricks Day
74,2011-3-27,British Summertime (BST) Begins
75,2011-4-1,April Fool's Day
76,2011-4-3,Mothering Sunday (Mothers Day)
77,2011-4-21,Maundy Thursday
78,2011-4-21,Queen Elizabeth's Birthday
79,2011-4-22,Good Friday
80,2011-4-23,St George's Day
81,2011-4-24,Easter Sunday
82,2011-4-25,Easter Monday
83,2011-5-2,May Day (Early May Bank Holiday)
84,2011-5-30,Spring Bank Holiday
85,2011-6-14,Trooping the Colour
86,2011-6-19,Father's Day
87,2011-7-14,Emmeline Pankhurst Day
88,2011-7-15,St.Swithun's Day (aka St. Swithin's)
89,2011-8-29,Summer Bank Holiday
90,2011-10-30,British Summertime (BST) Ends
91,2011-10-31,Halloween
92,2011-11-1,All Saints Day
93,2011-11-5,Guy Fawkes Night
94,2011-11-13,Remembrance Day (Remembrance Sunday)
95,2011-11-30,St Andrew's Day
96,2011-12-26,Boxing Day
97,2011-12-27,Christmas
98,2012-1-1,Hogmanay
99,2012-1-2,New Year's Day
100,2012-1-25,Robert Burns Night (Burns Night)
101,2012-1-27,Holocaust Memorial Day
102,2012-2-14,Valentines Day
103,2012-2-21,Shrove Tuesday (Pancake Day)
104,2012-2-22,Ash Wednesday
105,2012-3-1,St David's Day
106,2012-3-17,St Patricks Day
107,2012-3-18,Mothering Sunday (Mothers Day)
108,2012-3-25,British Summertime (BST) Begins
109,2012-4-1,April Fool's Day
110,2012-4-5,Maundy Thursday
111,2012-4-6,Good Friday
112,2012-4-8,Easter Sunday
113,2012-4-9,Easter Monday
114,2012-4-21,Queen Elizabeth's Birthday
115,2012-4-23,St George's Day
116,2012-5-7,May Day (Early May Bank Holiday)
117,2012-5-28,Spring Bank Holiday
118,2012-6-14,Trooping the Colour
119,2012-6-17,Father's Day
120,2012-7-14,Emmeline Pankhurst Day
121,2012-7-15,St.Swithun's Day (aka St. Swithin's)
122,2012-8-27,Summer Bank Holiday
123,2012-10-28,British Summertime (BST) Ends
124,2012-10-31,Halloween
125,2012-11-1,All Saints Day
126,2012-11-5,Guy Fawkes Night
127,2012-11-30,St Andrew's Day
128,2012-12-25,Christmas
129,2012-12-26,Boxing Day
130,2013-1-1,New Year's Day
131,2013-1-25,Robert Burns Night (Burns Night)
132,2013-1-27,Holocaust Memorial Day
133,2013-2-12,Shrove Tuesday (Pancake Day)
134,2013-2-13,Ash Wednesday
135,2013-2-14,Valentines Day
136,2013-3-1,St David's Day
137,2013-3-10,Mothering Sunday (Mothers Day)
138,2013-3-17,St Patricks Day
139,2013-3-28,Maundy Thursday
140,2013-3-29,Good Friday
141,2013-3-31,British Summertime (BST) Begins
142,2013-3-31,Easter Sunday
143,2013-4-1,April Fool's Day
144,2013-4-1,Easter Monday
