date,holiday
2009-1-1,New Year's Day
2009-1-25,Robert Burns Night (Burns Night)
2009-1-27,Holocaust Memorial Day
2009-2-14,Valentines Day
2009-2-24,Shrove Tuesday (Pancake Day)
2009-2-25,Ash Wednesday
2009-3-1,St David's Day
2009-3-17,St Patricks Day
2009-3-22,Mothering Sunday (Mothers Day)
2009-3-29,British Summertime (BST) Begins
2009-4-1,April Fool's Day
2009-4-9,Maundy Thursday
2009-4-10,Good Friday
2009-4-12,Easter Sunday
2009-4-13,Easter Monday
2009-4-21,Queen Elizabeth's Birthday
2009-4-23,St George's Day
2009-5-4,May Day (Early May Bank Holiday)
2009-5-25,Spring Bank Holiday
2009-6-14,Trooping the Colour
2009-6-21,Father's Day
2009-7-14,Emmeline Pankhurst Day
2009-7-15,St.Swithun's Day (aka St. Swithin's)
2009-8-31,Summer Bank Holiday
2009-10-25,British Summertime (BST) Ends
2009-10-31,Halloween
2009-11-1,All Saints Day
2009-11-5,Guy Fawkes Night
2009-11-8,Remembrance Day (Remembrance Sunday)
2009-11-30,St Andrew's Day
2009-12-25,Christmas
2009-12-28,Boxing Day
2010-1-1,New Year's Day
2010-1-25,Robert Burns Night (Burns Night)
2010-1-27,Holocaust Memorial Day
2010-2-14,Valentines Day
2010-2-16,Shrove Tuesday (Pancake Day)
2010-2-17,Ash Wednesday
2010-3-1,St David's Day
2010-3-14,Mothering Sunday (Mothers Day)
2010-3-17,St Patricks Day
2010-3-28,British Summertime (BST) Begins
2010-4-1,April Fool's Day
2010-4-1,Maundy Thursday
2010-4-2,Good Friday
2010-4-4,Easter Sunday
2010-4-5,Easter Monday
2010-4-21,Queen Elizabeth's Birthday
2010-4-23,St George's Day
2010-5-3,May Day (Early May Bank Holiday)
2010-5-31,Spring Bank Holiday
2010-6-14,Trooping the Colour
2010-6-20,Father's Day
2010-7-14,Emmeline Pankhurst Day
2010-7-15,St.Swithun's Day (aka St. Swithin's)
2010-8-30,Summer Bank Holiday
2010-10-31,British Summertime (BST) Ends
2010-10-31,Halloween
2010-11-1,All Saints Day
2010-11-5,Guy Fawkes Night
2010-11-14,Remembrance Day (Remembrance Sunday)
2010-11-30,St Andrew's Day
2010-12-27,Boxing Day
2010-12-28,Christmas
2011-1-2,Hogmanay
2011-1-3,New Year's Day
2011-1-25,Robert Burns Night (Burns Night)
2011-1-27,Holocaust Memorial Day
2011-2-14,Valentines Day
2011-3-1,St David's Day
2011-3-8,Shrove Tuesday (Pancake Day)
2011-3-9,Ash Wednesday
2011-3-17,St Patricks Day
2011-3-27,British Summertime (BST) Begins
2011-4-1,April Fool's Day
2011-4-3,Mothering Sunday (Mothers Day)
2011-4-21,Maundy Thursday
2011-4-21,Queen Elizabeth's Birthday
2011-4-22,Good Friday
2011-4-23,St George's Day
2011-4-24,Easter Sunday
2011-4-25,Easter Monday
2011-5-2,May Day (Early May Bank Holiday)
2011-5-30,Spring Bank Holiday
2011-6-14,Trooping the Colour
2011-6-19,Father's Day
2011-7-14,Emmeline Pankhurst Day
2011-7-15,St.Swithun's Day (aka St. Swithin's)
2011-8-29,Summer Bank Holiday
2011-10-30,British Summertime (BST) Ends
2011-10-31,Halloween
2011-11-1,All Saints Day
2011-11-5,Guy Fawkes Night
2011-11-13,Remembrance Day (Remembrance Sunday)
2011-11-30,St Andrew's Day
2011-12-26,Boxing Day
2011-12-27,Christmas
2012-1-1,Hogmanay
2012-1-2,New Year's Day
2012-1-25,Robert Burns Night (Burns Night)
2012-1-27,Holocaust Memorial Day
2012-2-14,Valentines Day
2012-2-21,Shrove Tuesday (Pancake Day)
2012-2-22,Ash Wednesday
2012-3-1,St David's Day
2012-3-17,St Patricks Day
2012-3-18,Mothering Sunday (Mothers Day)
2012-3-25,British Summertime (BST) Begins
2012-4-1,April Fool's Day
2012-4-5,Maundy Thursday
2012-4-6,Good Friday
2012-4-8,Easter Sunday
2012-4-9,Easter Monday
2012-4-21,Queen Elizabeth's Birthday
2012-4-23,St George's Day
2012-5-7,May Day (Early May Bank Holiday)
2012-5-28,Spring Bank Holiday
2012-6-14,Trooping the Colour
2012-6-17,Father's Day
2012-7-14,Emmeline Pankhurst Day
2012-7-15,St.Swithun's Day (aka St. Swithin's)
2012-8-27,Summer Bank Holiday
2012-10-28,British Summertime (BST) Ends
2012-10-31,Halloween
2012-11-1,All Saints Day
2012-11-5,Guy Fawkes Night
2012-11-30,St Andrew's Day
2012-12-25,Christmas
2012-12-26,Boxing Day
2013-1-1,New Year's Day
2013-1-25,Robert Burns Night (Burns Night)
2013-1-27,Holocaust Memorial Day
2013-2-12,Shrove Tuesday (Pancake Day)
2013-2-13,Ash Wednesday
2013-2-14,Valentines Day
2013-3-1,St David's Day
2013-3-10,Mothering Sunday (Mothers Day)
2013-3-17,St Patricks Day
2013-3-28,Maundy Thursday
2013-3-29,Good Friday
2013-3-31,British Summertime (BST) Begins
2013-3-31,Easter Sunday
2013-4-1,April Fool's Day
2013-4-1,Easter Monday
2013-4-21,Queen Elizabeth's Birthday
2013-4-23,St George's Day
2013-5-6,May Day (Early May Bank Holiday)
2013-5-27,Spring Bank Holiday
2013-6-14,Trooping the Colour
2013-6-16,Father's Day
2013-7-14,Emmeline Pankhurst Day
2013-7-15,St.Swithun's Day (aka St. Swithin's)
2013-8-26,Summer Bank Holiday
2013-10-27,British Summertime (BST) Ends
2013-10-31,Halloween
2013-11-1,All Saints Day
2013-11-5,Guy Fawkes Night
2013-11-10,Remembrance Day (Remembrance Sunday)
2013-11-30,St Andrew's Day
2013-12-25,Christmas
2013-12-26,Boxing Day
2014-1-1,New Year's Day
2014-1-25,Robert Burns Night (Burns Night)
2014-1-27,Holocaust Memorial Day
2014-2-14,Valentines Day
2014-3-1,St David's Day
2014-3-4,Shrove Tuesday (Pancake Day)
2014-3-5,Ash Wednesday
2014-3-17,St Patricks Day
2014-3-30,British Summertime (BST) Begins
2014-3-30,Mothering Sunday (Mothers Day)
